Name,Code,Y1990,Y2000,Y2010,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Poland,POL,0,2787305.137,23708269.22,25829615.71,27832341.12,28855310.52,29446279.82,30537874.13,31526298.63,32226572.8
Portugal,PRT,0,1690678.367,5635462.3,7109043.955,7271551.618,7600716.416,7678001.073,7750326.592,8058666.563,8528722.379
Puerto Rico,PRI,0,399147.468,1685850.825,2204333.07,2338469.36,2285827.304,2262695.674,2482664.001,0,2766328.551
Qatar,QAT,0,31416.30351,1182317.76,2242771.942,2468642.891,2640946.988,2757127.265,2797488.398,2750802.299,2688235
Romania,ROU,0,811025.5257,8084575.59,11049812.78,11723627.36,12487273.43,13764450.85,14268666.94,15114603.71,15984210.67
Russian Federation,RUS,0,2898557.42,69996239.32,101010812.5,105501928.7,109829281.5,116831618.9,119340456,122454488.8,127143041.1
Rwanda,RWA,0,5095.627739,824722.48,1455369.875,1741911.254,2103618.308,2406107.136,2741306.577,3128834.156,4100735.674
Samoa,WSM,0,1042.207511,13627.04,51721.30392,65157.448,81806.22,102963.191,129708.3382,148743.7382,171173.4929
San Marino,SMR,0,13089.48862,0,0,0,20495.68453,0,23190.01577,23969.29933,25262.29238
Sao Tome and Principe,STP,0,6666.198034,34150.875,51930.2168,57296.96,62267.73198,63574.38864,64876.74455,88135.65724,114239.9126
Saudi Arabia,SAU,0,476346.3838,12058890.89,22799211.41,25021860.61,32201577.67,32675420.57,34295647.55,35227608.54,35950396
Senegal,SEN,0,39202.16559,1002409.68,3115291.277,3785901.294,4493243.329,5497942.877,5798143.376,7754466.925,9797749.266
Serbia,SRB,0,0,2982197.324,4634493.116,4733087.789,4937828.091,5122487.815,5376776.856,5406710.417,5547140.922
Seychelles,SYC,0,6000.147926,36805.7,50688.79245,53506.43028,56326.75015,67830.162,72980.85076,74308.47957,80987.65131
Sierra Leone,SLE,0,5420.851758,37332.8484,464080.0382,882272.1963,1016273.935,1242082.398,1351867.104,1482114.6,0
Singapore,SGP,0,1450039.32,3604479.72,4605121.664,4735477.661,4739674.939,4971374.557,5073282.003,5231189.574,5285851.481
Sint Maarten (Dutch part),SXM,0,0,0,0,0,0,0,0,0,0
Slovak Republic,SVK,0,507984.0294,4081850.139,4210750.659,4370481.249,4439809.427,4381868.581,4518960.439,4908626.592,4843997.361
Slovenia,SVN,0,300531.7307,1434008.1,1508413.51,1559075.823,1630078.985,1653929.98,1735622.478,1820722.209,1876274.532
Solomon Islands,SLB,0,2069.470355,27019.7,61268.84887,69096.88736,76748.39273,0,190317.8484,248009.4077,255760.3977
Somalia,SOM,0,1744.293,0,242244.7456,268705.5236,297886.2277,0,0,0,0
South Africa,ZAF,0,2503835.48,12428381.04,29010586.76,30468027.96,31813891.31,35779932.24,40484862.17,41349697.35,42946831.8
South Sudan,SSD,0,0,0,335828.97,387313.675,436987.266,498975.792,585069.296,689404.755,0
