REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,MICHIGAN SUGAR CO - CARO FACTORY,1006312,819 PENINSULAR ST,43.4807,-83.3963,CARO,TUSCOLA COUNTY,MI,48723,MICHIGAN SUGAR CO (100%),79881,"C,S"
2022,MICHIGAN SUGAR CO - CROSWELL FACTORY,1004477,159 S. HOWARD ST.,43.266053,-82.619552,CROSWELL,SANILAC COUNTY,MI,48422,MICHIGAN SUGAR CO (100%),87307,"C,S"
2022,MICHIGAN SUGAR COMPANY - Bay City,1005758,2600 S. EUCLID AVE.,43.57486,-83.91588,BAY CITY,BAY COUNTY,MI,48706,MICHIGAN SUGAR CO (100%),187180,"C,S"
2022,MICHIGAN SUGAR COMPANY - SEBEWAING FACTORY,1006343,763 N BECK ST,43.739932,-83.446352,SEBEWAING,HURON COUNTY,MI,48759,MICHIGAN SUGAR CO (100%),135402,"C,S"
2022,MICROCHIP TECHNOLOGY INC,1004883,21015 SOUTHEAST STARK STREET,45.52065,-122.44749,GRESHAM,MULTNOMAH COUNTY,OR,97030,MICROCHIP TECHNOLOGY INC (100%),11619,"C,I"
2022,"MICRON TECHNOLOGY, INC.",1004325,8000 SOUTH FEDERAL WAY,43.5268,-116.1449,BOISE,ADA COUNTY,ID,83707,MICRON TECHNOLOGY INC (100%),56890,"C,I"
2022,MID AMERICA AGRI PRODUCTS WHEATLAND LLC,1005476,76080 RD 338,40.85401,-101.54,MADRID,PERKINS COUNTY,NE,69150,MID AMERICA BIO ENERGY & COMMODITIES LLC (100%),49571,C
2022,MID-MISSOURI ENERGY LLC,1007847,15311 N. SALINE 65 HWY,39.19446,-93.38376,MALTA BEND,SALINE COUNTY,MO,65339,MID-MISSOURI ENERGY LLC (100%),82532,"C,PP"
2022,MIDDLE PENINSULA LANDFILL,1007635,3714 WASTE MANAGEMENT WAY,37.521681,-76.624614,SALUDA,GLOUCESTER COUNTY,VA,23149,WASTE MANAGEMENT INC (100%),70,"C,HH"
2022,MIDDLE POINT LANDFILL,1002650,750 E. JEFFERSON PIKE,35.941993,-86.361929,MURFREESBORO,RUTHERFORD COUNTY,TN,37130,REPUBLIC SERVICES INC (100%),411,"C,HH"
2022,MIDDLE TENNESSEE STATE UNIVERSITY,1004834,1301 EAST MAIN STREET,35.84342,-86.37075,MURFREESBORO,RUTHERFORD COUNTY,TN,37132,Middle Tennessee State University (100%),39271,C
2022,MIDSTREAM ENERGY PARTNERS NORTH COLES LEVEE GAS PLANT,1005446,9224 TUPMAN ROAD,35.280555,-119.311943,TUPMAN,KERN COUNTY,CA,93276,MIDSTREAM ENERGY PARTNERS (USA) LLC (100%),30181,"C,NN,W"
2022,MIDWAY-SUNSET COGENERATION CO.,1005355,3466 CROCKER SPRGS RD,35.22663,-119.62972,FELLOWS,KERN COUNTY,CA,93224,NRG ENERGY INC (50%); SHELL PETROLEUM INC (25.9%); EXXON MOBIL CORP (24.1%),36011,C
2022,MILLERSVILLE LANDFILL,1002002,389 BURNS CROSSING ROAD,39.085577,-76.676523,SEVERN,ANNE ARUNDEL COUNTY,MD,21144,ANNE ARUNDEL COUNTY MARYLAND (DEPT OF PUBLIC WORKS - WASTE MANAGEMENT SERVICES) (100%),60,"C,HH"
2022,MILLIKEN & CO MAGNOLIA PLT,1004950,157 NEW MILLIKEN RD,35.113688,-81.493799,BLACKSBURG,CHEROKEE COUNTY,SC,29702,MILLIKEN & CO (100%),112133,C
2022,MILLIKEN & COMPANY PENDLETON FINISHING PLANT,1007958,200 EXCELSIOR MILL RD.,34.65913,-82.8046,PENDLETON,PICKENS COUNTY,SC,29670,MILLIKEN & CO (100%),14704,C
2022,MILWAUKEE REGIONAL MEDICAL CENTER THERMAL,1002210,9250 WATERTOWN PLANK RD,43.0462,-88.0278,MILWAUKEE,MILWAUKEE COUNTY,WI,53226,MILWAUKEE REGIONAL MEDICAL CENTER INC (100%),45656,C
2022,MINISINK COMPRESSOR STATION,1011615,107 Jacobs Road,41.33926,-74.522522,Westtown,ORANGE COUNTY,NY,10998,TRANSCANADA PIPELINE USA LTD (47.5%); DTE ENERGY CO (26.25%); NATIONAL GRID USA (26.25%),57791,"C,W"
2022,MINN DAK FARMERS COOPERATIVE,1006319,7525 RED RIVER RD,46.323539,-96.61592,WAHPETON,RICHLAND COUNTY,ND,58075,MINN-DAK FARMERS COOPERATIVE (100%),408946,"C,S,TT"
2022,MINNESOTA SOYBEAN PROCESSORS - BREWSTER,1006609,121 ZEH AVE,43.705647,-95.456507,BREWSTER,NOBLES COUNTY,MN,56119,MINNESOTA SOYBEAN PROCESSORS (100%),52831,C
2022,MISSISSIPPI COUNTY LANDFILL,1004480,1695 E COUNTY RD. 506,35.777917,-89.972417,BLYTHEVILLE,MISSISSIPPI COUNTY,AR,72315,MISSISSIPPI COUNTY ARKANSAS (100%),11,"C,HH"
